iter	Passed	Remaining
325	1598	3305
326	1604	3301
327	1608	3296
328	1613	3290
329	1618	3285
330	1622	3280
331	1627	3274
332	1632	3269
333	1636	3264
334	1641	3258
335	1646	3253
336	1651	3248
337	1655	3243
338	1660	3237
339	1665	3232
340	1670	3227
341	1674	3221
342	1679	3216
343	1684	3211
344	1688	3206
345	1693	3201
346	1698	3196
347	1703	3190
348	1707	3185
349	1712	3180
350	1717	3175
351	1721	3169
352	1726	3164
353	1730	3158
354	1735	3153
355	1740	3148
356	1745	3142
357	1749	3137
358	1754	3132
359	1758	3127
360	1763	3121
361	1768	3117
362	1773	3111
363	1778	3106
364	1782	3101
365	1787	3095
366	1791	3090
367	1796	3085
368	1801	3081
369	1806	3076
370	1811	3070
371	1816	3065
372	1820	3060
373	1825	3055
374	1830	3050
375	1834	3044
376	1837	3036
377	1840	3028
378	1845	3023
379	1849	3018
380	1854	3013
381	1859	3008
382	1864	3003
383	1869	2998
384	1873	2993
385	1878	2988
386	1883	2983
387	1887	2977
388	1892	2973
389	1897	2968
390	1902	2963
391	1906	2957
392	1911	2952
393	1916	2947
394	1921	2942
395	1925	2937
396	1929	2931
397	1934	2926
398	1939	2921
399	1944	2916
400	1948	2911
401	1953	2906
402	1958	2901
403	1963	2896
404	1968	2891
405	1973	2886
406	1977	2881
407	1982	2876
408	1987	2871
409	1992	2867
410	1997	2862
411	2002	2857
412	2007	2853
413	2012	2848
414	2017	2843
415	2021	2838
416	2026	2833
417	2031	2827
418	2035	2822
419	2040	2817
420	2045	2812
421	2049	2807
422	2054	2802
